id,year,state_name,state_code,district_name,district_code,registration_circles,male_below_12_years,male_12_years_to_16_years,male_16_years_to_18_years,male_children,male_18_years_and_above,female_below_12_years,female_12_years_to_16_years,female_16_years_to_18_years,female_children,female_18_years_and_above,transgender_below_12_years,transgender_12_years_to_16_years,transgender_16_years_to_18_years,transgender_children,transgender_18_years_and_above
0,2021,Andhra Pradesh,28,Anantapur,502,Anantapur,3,21,19,43,248,4,111,331,446,778,NaN,NaN,NaN,NaN,NaN
1,2021,Andhra Pradesh,28,Chittoor,503,Chittoor,28,7,10,45,122,18,67,180,265,462,NaN,NaN,NaN,NaN,NaN
2,2021,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,22,10,19,51,158,23,64,117,204,369,5,NaN,NaN,5,5
3,2021,Andhra Pradesh,28,East Godavari,505,East Godavari,11,11,7,29,324,18,32,141,191,502,NaN,NaN,NaN,NaN,NaN
4,2021,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,1,0,0,1,2,0,0,0,0,3,NaN,NaN,NaN,NaN,NaN
5,2021,Andhra Pradesh,28,Guntur,506,Guntur,44,20,18,82,198,42,48,116,206,461,NaN,NaN,NaN,NaN,NaN
6,2021,Andhra Pradesh,28,Guntur,506,Guntur Urban,3,7,7,17,186,1,69,68,138,302,NaN,NaN,NaN,NaN,NaN
7,2021,Andhra Pradesh,28,Krishna,510,Krishna,30,1,0,31,173,28,2,2,32,314,NaN,NaN,NaN,NaN,NaN
8,2021,Andhra Pradesh,28,Kurnool,511,Kurnool,54,23,16,93,206,38,62,161,261,604,NaN,NaN,NaN,NaN,NaN
9,2021,Andhra Pradesh,28,Spsr Nellore,515,Nellore,26,8,16,50,137,21,52,104,177,352,NaN,NaN,NaN,NaN,NaN
10,2021,Andhra Pradesh,28,Prakasam,517,Prakasham,32,14,7,53,138,37,77,84,198,377,NaN,NaN,NaN,NaN,NaN
11,2021,Andhra Pradesh,28,East Godavari,505,Rajahmundry,14,4,5,23,134,14,30,28,72,199,NaN,NaN,NaN,NaN,NaN
12,2021,Andhra Pradesh,28,Srikakulam,519,Srikakulam,4,5,7,16,65,13,5,67,85,203,NaN,NaN,NaN,NaN,NaN
13,2021,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,17,10,2,29,79,13,33,101,147,211,NaN,NaN,NaN,NaN,NaN
14,2021,Andhra Pradesh,28,Ntr,749,Vijayawada City,19,4,12,35,257,19,28,81,128,399,NaN,NaN,NaN,NaN,NaN
15,2021,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0,0,0,0,9,0,0,0,0,9,NaN,NaN,NaN,NaN,NaN
16,2021,Andhra Pradesh,28,Visakhapatanam,520,Visakha Rural,7,4,7,18,106,7,9,35,51,165,NaN,NaN,NaN,NaN,NaN
17,2021,Andhra Pradesh,28,Visakhapatanam,520,Visakhapatnam,20,29,21,70,384,17,44,94,155,636,NaN,NaN,NaN,NaN,NaN
18,2021,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,4,13,5,22,118,8,7,23,38,215,NaN,NaN,NaN,NaN,NaN
19,2021,Andhra Pradesh,28,West Godavari,523,West Godavari,1,16,9,26,287,5,80,102,187,543,NaN,NaN,NaN,NaN,NaN
20,2021,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
21,2021,Arunachal Pradesh,12,Changlang,229,Changlang,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
22,2021,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
23,2021,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
24,2021,Arunachal Pradesh,12,East Kameng,231,Kameng East,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
25,2021,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,1,0,1,0,0,1,0,1,1,NaN,NaN,NaN,NaN,NaN
26,2021,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,1,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
27,2021,Arunachal Pradesh,12,Lohit,234,Lohit,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
28,2021,Arunachal Pradesh,12,Longding,666,Longding,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
29,2021,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
30,2021,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
31,2021,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
32,2021,Arunachal Pradesh,12,East Siang,232,Siang East,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
